Offense_Description,Report_Date,Full_Address
Theft: BOV,08/30/2014 12:00:00 AM,2237 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: BOV,03/28/2014 12:00:00 AM,9070 RESEARCH BLVD SB                                                                               Austin TX 78757
Theft: Shoplifting,08/16/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: All Other Larceny,11/07/2014 12:00:00 AM,1001 COLLINWOOD WEST DR                                                                             Austin TX 78753
Theft: BOV,06/26/2014 12:00:00 AM,7905 DOWNING ST                                                                                     Austin TX 78759
Theft: All Other Larceny,01/10/2014 12:00:00 AM,2201 E BEN WHITE BLVD SVRD EB                                                                       Austin TX 78744
Burglary: Breaking & Entering,04/04/2014 12:00:00 AM,7707 S IH 35 SVRD NB                                                                                Austin TX 78744
Burglary: Breaking & Entering,10/30/2014 12:00:00 AM,2504 HUNTWICK DR                                                                                    Austin TX 78741
Theft: All Other Larceny,01/26/2014 12:00:00 AM,2101 S LAMAR BLVD                                                                                   Austin TX 78704
Theft: BOV,10/15/2014 12:00:00 AM,1722 WOODWARD ST                                                                                    Austin TX 78741
Theft: All Other Larceny,04/10/2014 12:00:00 AM,12405 WILLOW WILD DR                                                                                Austin TX 78758
Theft: All Other Larceny,05/14/2014 12:00:00 AM,8300 N IH 35 SVRD NB                                                                                Austin TX 78753
